,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,EMG9,EMG10,EMG11,EMG12,EMG13,EMG14,EMG15,EMG16
0,7.82525403023231e-07,1.1568893944934754e-06,1.1241420950020887e-06,1.2922140212591432e-06,1.0193847173584252e-06,9.236115906330947e-07,1.4920741630232717e-06,1.1706745095017337e-06,1.6400071802420178e-06,1.009654730577128e-06,1.0571019057204717e-06,1.898185153798191e-06,9.345520009957436e-07,1.2616092198696466e-06,1.664611542056809e-06,1.3389569793121832e-06
1,9.98726943268658e-07,1.3206024712622618e-06,1.2764385393448029e-06,1.6505838080942026e-06,1.2718073045712812e-06,1.1262782880526231e-06,1.5019344432852772e-06,1.191335094551399e-06,1.8398983311456477e-06,1.2261369323938997e-06,1.2693150838306643e-06,1.5094468871722842e-06,1.1162405769670304e-06,1.375065182029822e-06,1.6561074438082534e-06,1.5471404681720248e-06
2,1.0079472930991558e-06,1.2312148641130028e-06,1.3906721307348627e-06,1.5761136092732608e-06,1.2339840830443415e-06,1.2384317247905743e-06,1.4949525907778908e-06,1.3573338737253358e-06,1.9146410602351386e-06,1.3488280791968183e-06,1.5299412338541672e-06,1.513584860743355e-06,1.215130256491815e-06,1.4200066057210985e-06,1.7397703271686278e-06,1.5786926302870137e-06
3,1.043021921693036e-06,1.0254347687558681e-06,1.2564450663200924e-06,1.3432785439842937e-06,1.2132225808465407e-06,1.3352915181307322e-06,1.4349264109234877e-06,1.5595886513121989e-06,2.1568683247738585e-06,1.1428047840214677e-06,1.5321173762079788e-06,1.437065027382119e-06,1.1423928232332822e-06,1.4786792759200468e-06,1.8194855418089993e-06,1.4697092020818026e-06
4,1.0858515952609136e-06,1.164728674847176e-06,1.3635394822338084e-06,1.4181333321523256e-06,1.3033597830021769e-06,1.4483685351456156e-06,1.4476974707854721e-06,1.5616708652134668e-06,2.2482906701692075e-06,1.1603367019282077e-06,1.4434043424178391e-06,1.7375031748710124e-06,1.217719825575523e-06,1.354212800921038e-06,2.184936244659864e-06,1.3252233232577342e-06
5,9.586329834177322e-07,1.2102647243739452e-06,1.357090575840117e-06,1.4474709465517562e-06,1.2671780166728125e-06,1.5012710328415042e-06,1.5409774272096772e-06,1.4698390909602844e-06,2.1608301687127506e-06,1.222806798089321e-06,1.2386958701848325e-06,2.157877771888763e-06,1.2305194600205202e-06,1.1690309121033834e-06,2.4343764326383143e-06,1.645583203034777e-06
6,1.0044461802213893e-06,1.2319028464746522e-06,1.3175897011778406e-06,1.5562429865237708e-06,1.333477102064832e-06,1.3348883679904462e-06,1.4287058438130096e-06,1.4690103975146455e-06,2.0693728402408134e-06,1.3039239521171743e-06,1.2177219269325747e-06,1.9352902411673246e-06,1.125663969959546e-06,1.3559432095329946e-06,1.9056266046276202e-06,1.698493285847694e-06
7,1.0895459722682939e-06,1.3253824956092166e-06,1.4130731687343915e-06,1.6959328053555946e-06,1.2679367729970257e-06,1.2660163257350188e-06,1.2943721440697348e-06,1.5493641400730762e-06,1.960274441782077e-06,1.3494318264359712e-06,1.355368375330093e-06,1.6905690550535147e-06,1.1793413518138397e-06,1.3112041837969835e-06,1.6422905117814331e-06,1.4276825383085899e-06
8,1.083976313343769e-06,1.0547661212564042e-06,1.3455147472746838e-06,1.5839528316424619e-06,1.217524504179314e-06,1.1277992032286057e-06,1.4209614232629338e-06,1.603448587436929e-06,1.911042252831268e-06,1.2877979823640559e-06,1.3289054324718356e-06,1.6259616297475837e-06,1.2657660980105389e-06,1.1498711148907704e-06,1.7585835127631975e-06,1.3350089002822494e-06
9,1.1692886596913216e-06,1.0897131598949158e-06,1.261359222639257e-06,1.3022838542153762e-06,1.2201820821581902e-06,1.116105459688298e-06,1.530871856619477e-06,1.7888283109055093e-06,1.833530707017852e-06,1.276255484018569e-06,1.3162339577341718e-06,1.7961139711701609e-06,1.369730795143118e-06,1.4081479015642524e-06,1.6911254893538093e-06,1.4432403951362858e-06
